"大学名","本部所在地","都道府県","市区町村","設立年","種別"
"こども教育宝仙大学","東京都中野区中央2-33-26","東京都","中野区",2008,"私立・大学"
"駒沢女子短期大学","東京都稲城市坂浜238","東京都","稲城市",1965,"私立・短期大学"
"駒沢女子大学","東京都稲城市坂浜238","東京都","稲城市",1992,"私立・大学"
"駒澤大学","東京都世田谷区駒沢1-23-1","東京都","世田谷区",1949,"私立・大学"
"埼玉医科大学","埼玉県入間郡毛呂山町大字毛呂本郷38","埼玉県","入間郡毛呂山町",1972,"私立・大学"
"埼玉医科大学短期大学","埼玉県入間郡毛呂山町大字毛呂本郷38","埼玉県","入間郡毛呂山町",1988,"私立・短期大学"
"埼玉学園大学","埼玉県川口市木曽呂1510","埼玉県","川口市",2000,"私立・大学"
"埼玉工業大学","埼玉県深谷市普済寺1690","埼玉県","深谷市",1976,"私立・大学"
"埼玉純真短期大学","埼玉県羽生市下岩瀬430","埼玉県","羽生市",1983,"私立・短期大学"
"埼玉女子短期大学","埼玉県日高市女影1616","埼玉県","日高市",1988,"私立・短期大学"
"埼玉東萌短期大学","埼玉県越谷市新越谷2-21-1","埼玉県","越谷市",2010,"私立・短期大学"
"佐賀女子短期大学","佐賀県佐賀市本庄町大字本庄1313","佐賀県","佐賀市",1966,"私立・短期大学"
"嵯峨美術短期大学","京都府京都市右京区嵯峨五島町1","京都府","京都市右京区",1971,"私立・短期大学"
"嵯峨美術大学","京都府京都市右京区嵯峨五島町1","京都府","京都市右京区",2000,"私立・大学"
"相模女子大学","神奈川県相模原市南区文京2-1-1","神奈川県","相模原市南区",1949,"私立・大学"
"相模女子大学短期大学部","神奈川県相模原市南区文京2-1-1","神奈川県","相模原市南区",1951,"私立・短期大学"
"作新学院大学","栃木県宇都宮市竹下町908","栃木県","宇都宮市",1988,"私立・大学"
"作新学院大学女子短期大学部","栃木県宇都宮市竹下町908","栃木県","宇都宮市",1967,"私立・短期大学"
"佐久大学","長野県佐久市岩村田2384","長野県","佐久市",2007,"私立・大学"
"佐久大学信州短期大学部","長野県佐久市岩村田2384","長野県","佐久市",1987,"私立・短期大学"
"作陽短期大学","岡山県倉敷市玉島長尾3524","岡山県","倉敷市",1951,"私立・短期大学"
"桜の聖母短期大学","福島県福島市花園町3-6","福島県","福島市",1955,"私立・短期大学"
"札幌学院大学","北海道江別市文京台11","北海道","江別市",1968,"私立・大学"
"札幌国際大学","北海道札幌市清田区清田4-1-4-1","北海道","札幌市清田区",1992,"私立・大学"
"札幌国際大学短期大学部","北海道札幌市清田区清田4-1-4-1","北海道","札幌市清田区",1969,"私立・短期大学"
"札幌大学","北海道札幌市豊平区西岡3-7-3-1","北海道","札幌市豊平区",1967,"私立・大学"
"札幌保健医療大学","北海道札幌市東区中沼西4条2-1-15","北海道","札幌市東区",2012,"私立・大学"
"札幌大谷大学","北海道札幌市東区北16条東9-1-1","北海道","札幌市東区",2005,"私立・大学"
"札幌大谷大学短期大学部","北海道札幌市東区北16条東9-1-1","北海道","札幌市東区",1961,"私立・短期大学"
"サレジオ工業高等専門学校","東京都町田市小山ヶ丘4-6-8","東京都","町田市",1962,"私立・大学"
"三育学院大学","千葉県夷隅郡大多喜町久我原1500","千葉県","夷隅郡大多喜町",2007,"私立・大学"
"産業技術短期大学","兵庫県尼崎市西昆陽1-27-1","兵庫県","尼崎市",1962,"私立・短期大学"
"産業能率大学","東京都世田谷区等々力6-39-15","東京都","世田谷区",1978,"私立・大学"
"山陽学園短期大学","岡山県岡山市中区平井1-14-1","岡山県","岡山市中区",1969,"私立・短期大学"
"山陽学園大学","岡山県岡山市中区平井1-14-1","岡山県","岡山市中区",1993,"私立・大学"
"山陽女子短期大学","広島県廿日市市佐方本町1-1","広島県","廿日市市",1963,"私立・短期大学"
"志學館大学","鹿児島県鹿児島市紫原1-59-1","鹿児島県","鹿児島市",1978,"私立・大学"
"滋賀短期大学","滋賀県大津市竜が丘24-4","滋賀県","大津市",1970,"私立・短期大学"
"至学館大学","愛知県大府市横根町名高山55","愛知県","大府市",1963,"私立・大学"
"滋賀文教短期大学","滋賀県長浜市田村町335","滋賀県","長浜市",1952,"私立・短期大学"
"四国学院大学","香川県善通寺市文京町3-2-1","香川県","善通寺市",1962,"私立・大学"
"四国大学","徳島県徳島市応神町古川字戎子野123-1","徳島県","徳島市",1966,"私立・大学"
"四国大学短期大学部","徳島県徳島市応神町古川字戎子野123-1","徳島県","徳島市",1961,"私立・短期大学"
"四條畷学園短期大学","大阪府大東市学園町6-45","大阪府","大東市",1964,"私立・短期大学"
"四條畷学園大学","大阪府大東市北条5-11-10","大阪府","大東市",2004,"私立・大学"
"静岡英和学院大学","静岡県静岡市駿河区池田1769番地","静岡県","静岡市駿河区",2001,"私立・大学"
"静岡英和学院大学短期大学部","静岡県静岡市駿河区池田1769番地","静岡県","静岡市駿河区",1966,"私立・短期大学"
"静岡産業大学","静岡県藤枝市駿河台4-1-1","静岡県","藤枝市",1993,"私立・大学"
"静岡福祉大学","静岡県焼津市本中根549-1","静岡県","焼津市",2003,"私立・大学"
"静岡理工科大学","静岡県袋井市豊沢2200-2","静岡県","袋井市",1990,"私立・大学"
"至誠館大学","山口県萩市大字椿東字浦田5000番地","山口県","萩市",1998,"私立・大学"
"四天王寺大学","大阪府羽曳野市学園前3-2-1","大阪府","羽曳野市",1967,"私立・大学"
"四天王寺大学短期大学部","大阪府羽曳野市学園前3-2-1","大阪府","羽曳野市",1957,"私立・短期大学"
"芝浦工業大学","東京都江東区豊洲3-7-5","東京都","江東区",1949,"私立・大学"
"柴田学園大学","青森県弘前市清原1-1-16","青森県","弘前市",1969,"私立・大学"
"柴田学園大学短期大学部","青森県弘前市上瓦ケ町25","青森県","弘前市",1950,"私立・短期大学"
"下関短期大学","山口県下関市桜山町1-1","山口県","下関市",1962,"私立・短期大学"
"社会構想大学院大学","東京都新宿区高田馬場1-25-30","東京都","新宿区",2016,"私立・大学"
"修紅短期大学","岩手県一関市萩荘字竹際49-1","岩手県","一関市",1953,"私立・短期大学"
"就実短期大学","岡山県岡山市中区西川原1-6-1","岡山県","岡山市中区",1953,"私立・短期大学"
"就実大学","岡山県岡山市中区西川原1-6-1","岡山県","岡山市中区",1979,"私立・大学"
"修文大学","愛知県一宮市日光町6番地","愛知県","一宮市",2007,"私立・大学"
"修文大学短期大学部","愛知県一宮市日光町6番地","愛知県","一宮市",1955,"私立・短期大学"
"秀明大学","千葉県八千代市大学町1-1","千葉県","八千代市",1987,"私立・大学"
"淑徳大学","千葉県千葉市中央区大巌寺町200","千葉県","千葉市中央区",1965,"私立・大学"
"種智院大学","京都府京都市伏見区向島西定請70番地","京都府","京都市伏見区",1949,"私立・大学"
"松蔭大学","神奈川県厚木市森の里若宮9-1","神奈川県","厚木市",1999,"私立・大学"
"頌栄短期大学","兵庫県神戸市東灘区御影山手1-18-1","兵庫県","神戸市東灘区",1950,"私立・短期大学"
"尚絅学院大学","宮城県名取市ゆりが丘4-10-1","宮城県","名取市",2002,"私立・大学"
"尚絅大学","熊本県熊本市中央区九品寺2-6-78","熊本県","熊本市中央区",1975,"私立・大学"
"尚絅大学短期大学部","熊本県熊本市中央区九品寺2-6-78","熊本県","熊本市中央区",1952,"私立・短期大学"
"正眼短期大学","岐阜県美濃加茂市伊深町876-10","岐阜県","美濃加茂市",1955,"私立・短期大学"
"湘南医療大学","神奈川県横浜市戸塚区上品濃16-48","神奈川県","横浜市戸塚区",2014,"私立・大学"
"湘南鎌倉医療大学","神奈川県鎌倉市山崎1195-3","神奈川県","鎌倉市",2019,"私立・大学"
"湘南工科大学","神奈川県藤沢市辻堂西海岸一丁目1番25号","神奈川県","藤沢市",1963,"私立・大学"
"尚美学園大学","埼玉県川越市豊田町1-1-1","埼玉県","川越市",1999,"私立・大学"
"湘北短期大学","神奈川県厚木市温水字長久保428","神奈川県","厚木市",1974,"私立・短期大学"
"昭和音楽大学","神奈川県川崎市麻生区上麻生1-11-1","神奈川県","川崎市麻生区",1983,"私立・大学"
"昭和音楽大学短期大学部","神奈川県川崎市麻生区上麻生1-11-1","神奈川県","川崎市麻生区",1969,"私立・短期大学"
"昭和学院短期大学","千葉県市川市東菅野2-17-1","千葉県","市川市",1950,"私立・短期大学"
"昭和女子大学","東京都世田谷区太子堂1-7-57","東京都","世田谷区",1949,"私立・大学"
"昭和大学","東京都品川区旗の台1-5-8","東京都","品川区",1952,"私立・大学"
"昭和薬科大学","東京都町田市東玉川学園3-3165","東京都","町田市",1949,"私立・大学"
"白梅学園短期大学","東京都小平市小川町1-830","東京都","小平市",1957,"私立・短期大学"
"白梅学園大学","東京都小平市小川町1-830","東京都","小平市",2004,"私立・大学"
"白百合女子大学","東京都調布市緑ケ丘1-25","東京都","調布市",1965,"私立・大学"
"信州豊南短期大学","長野県上伊那郡辰野町中山72","長野県","上伊那郡辰野町",1983,"私立・短期大学"
"事業構想大学院大学","東京都港区南青山3-13-16","東京都","港区",2011,"私立・大学"
"事業創造大学院大学","新潟県新潟市中央区米山3-1-46","新潟県","新潟市中央区",2005,"私立・大学"
"滋慶医療科学大学","大阪府大阪市淀川区宮原1-2-8","大阪府","大阪市淀川区",2010,"私立・大学"
"自治医科大学","栃木県下野市薬師寺3311-1","栃木県","下野市",1972,"私立・大学"
"実践女子大学","東京都日野市大坂上4-1-1","東京都","日野市",1949,"私立・大学"
"実践女子大学短期大学部","東京都渋谷区東1-1-49","東京都","渋谷区",1950,"私立・短期大学"
"十文字学園女子大学","埼玉県新座市菅沢2-1-28","埼玉県","新座市",1995,"私立・大学"
"純真学園大学","福岡県福岡市南区筑紫丘1-1-1","福岡県","福岡市南区",2010,"私立・大学"
"純真短期大学","福岡県福岡市南区筑紫丘1-1-1","福岡県","福岡市南区",1957,"私立・短期大学"
"順天堂大学","東京都文京区本郷2-1-1","東京都","文京区",1951,"私立・大学"
"自由が丘産能短期大学","東京都世田谷区等々力6-39-15","東京都","世田谷区",1950,"私立・短期大学"
"城西国際大学","千葉県東金市求名1番地","千葉県","東金市",1991,"私立・大学"
"城西短期大学","埼玉県坂戸市けやき台1-1","埼玉県","坂戸市",1983,"私立・短期大学"
"城西大学","埼玉県坂戸市けやき台1-1","埼玉県","坂戸市",1965,"私立・大学"
"上智大学","東京都千代田区紀尾井町7-1","東京都","千代田区",1948,"私立・大学"
"上智大学短期大学部","神奈川県秦野市上大槻山王台999","神奈川県","秦野市",1973,"私立・短期大学"
"上武大学","群馬県伊勢崎市戸谷塚町634‐1","群馬県","伊勢崎市",1968,"私立・大学"
"情報経営イノベーション専門職大学","東京都墨田区文花1-18-13","東京都","墨田区",2019,"私立・大学"
"情報セキュリティ大学院大学","神奈川県横浜市神奈川区鶴屋町2-14-1","神奈川県","横浜市神奈川区",2003,"私立・大学"
"女子栄養大学","埼玉県坂戸市千代田3-9-21","埼玉県","坂戸市",1961,"私立・大学"
"女子栄養大学短期大学部","東京都豊島区駒込3-24-3","東京都","豊島区",1950,"私立・短期大学"
"女子美術大学","東京都杉並区和田1-49-8","東京都","杉並区",1949,"私立・大学"
"女子美術大学短期大学部","東京都杉並区和田1-49-8","東京都","杉並区",1950,"私立・短期大学"
"仁愛女子短期大学","福井県福井市天池町43-1-1","福井県","福井市",1965,"私立・短期大学"
"仁愛大学","福井県越前市大手町3-1-1","福井県","越前市",2000,"私立・大学"
"杉野服飾大学","東京都品川区上大崎4-6-19","東京都","品川区",1964,"私立・大学"
"椙山女学園大学","愛知県名古屋市千種区星が丘元町17-3","愛知県","名古屋市千種区",1949,"私立・大学"
"鈴鹿医療科学大学","三重県鈴鹿市岸岡町1001-1","三重県","鈴鹿市",1990,"私立・大学"
"鈴鹿大学","三重県鈴鹿市郡山町663番222","三重県","鈴鹿市",1993,"私立・大学"
"鈴鹿大学短期大学部","三重県鈴鹿市郡山町663番222","三重県","鈴鹿市",1966,"私立・短期大学"
"駿河台大学","埼玉県飯能市大字阿須字一の木 698","埼玉県","飯能市",1986,"私立・大学"
"成安造形大学","滋賀県大津市仰木の里東四丁目3番1号","滋賀県","大津市",1992,"私立・大学"
"精華女子短期大学","福岡県福岡市博多区南八幡町2-12-1","福岡県","福岡市博多区",1967,"私立・短期大学"
"聖カタリナ大学","愛媛県松山市北条660","愛媛県","松山市",1987,"私立・大学"
"聖カタリナ大学短期大学部","愛媛県松山市北条660","愛媛県","松山市",1966,"私立・短期大学"
"聖学院大学","埼玉県上尾市戸崎1-1","埼玉県","上尾市",1987,"私立・大学"
"成蹊大学","東京都武蔵野市吉祥寺北町3-3-1","東京都","武蔵野市",1949,"私立・大学"
"星槎大学","神奈川県足柄下郡箱根町仙石原817-255","神奈川県","足柄下郡箱根町",2003,"私立・大学"
"星槎道都大学","北海道北広島市中の沢149-1","北海道","北広島市",1978,"私立・大学"
"聖心女子大学","東京都渋谷区広尾4丁目3番1号","東京都","渋谷区",1948,"私立・大学"
"成城大学","東京都世田谷区成城6-1-20","東京都","世田谷区",1950,"私立・大学"
"星城大学","愛知県東海市富貴ノ台2-172","愛知県","東海市",2001,"私立・大学"
"清泉女学院短期大学","長野県長野市上野2-120-8","長野県","長野市",1981,"私立・短期大学"
"清泉女学院大学","長野県長野市上野2-120-8","長野県","長野市",2002,"私立・大学"
"清泉女子大学","東京都品川区東五反田3-16-21","東京都","品川区",1950,"私立・大学"
"聖泉大学","滋賀県彦根市肥田町720","滋賀県","彦根市",2002,"私立・大学"
"聖徳大学","千葉県松戸市岩瀬550","千葉県","松戸市",1989,"私立・大学"
"聖徳大学短期大学部","千葉県松戸市岩瀬550","千葉県","松戸市",1965,"私立・短期大学"
"西南学院大学","福岡県福岡市早良区西新6-2-92","福岡県","福岡市早良区",1949,"私立・大学"
"西南女学院大学","福岡県北九州市小倉北区井堀1-3-5","福岡県","北九州市小倉北区",1993,"私立・大学"
"西南女学院大学短期大学部","福岡県北九州市小倉北区井堀1-3-2","福岡県","北九州市小倉北区",1950,"私立・短期大学"
"星美学園短期大学","東京都北区赤羽台4-2-14","東京都","北区",1960,"私立・短期大学"
"西武文理大学","埼玉県狭山市柏原新田311-1","埼玉県","狭山市",1998,"私立・大学"
"聖マリア学院大学","福岡県久留米市津福本町422","福岡県","久留米市",2005,"私立・大学"
"聖マリアンナ医科大学","神奈川県川崎市宮前区菅生2-16-1","神奈川県","川崎市宮前区",1971,"私立・大学"
"聖路加国際大学","東京都中央区明石町10-1","東京都","中央区",1964,"私立・大学"
"聖隷クリストファー大学","静岡県浜松市北区三方原町3453","静岡県","浜松市北区",1991,"私立・大学"
"聖霊女子短期大学","秋田県秋田市寺内高野10-33","秋田県","秋田市",1954,"私立・短期大学"
"聖和学園短期大学","宮城県仙台市泉区南中山5-5-2","宮城県","仙台市泉区",1951,"私立・短期大学"
"聖和短期大学","兵庫県西宮市岡田山7-54","兵庫県","西宮市",1950,"私立・短期大学"
"清和大学","千葉県木更津市東太田3-4-5","千葉県","木更津市",1993,"私立・大学"
"清和大学短期大学部","千葉県木更津市東太田3-4-2","千葉県","木更津市",1967,"私立・短期大学"
"摂南大学","大阪府寝屋川市池田中町17-8","大阪府","寝屋川市",1975,"私立・大学"
"せとうち観光専門職短期大学","香川県高松市屋島西町2366-1","香川県","高松市",2020,"私立・短期大学"
"専修大学","東京都千代田区神田神保町3-8-1","東京都","千代田区",1949,"私立・大学"
"洗足学園音楽大学","神奈川県川崎市高津区久本2-3-1","神奈川県","川崎市高津区",1967,"私立・大学"
"洗足こども短期大学","神奈川県川崎市高津区久本2-3-1","神奈川県","川崎市高津区",1962,"私立・短期大学"
"仙台赤門短期大学","宮城県仙台市青葉区荒巻字青葉6-41","宮城県","仙台市青葉区",2017,"私立・短期大学"
"仙台白百合女子大学","宮城県仙台市泉区本田町6-1","宮城県","仙台市泉区",1995,"私立・大学"
"仙台青葉学院短期大学","宮城県仙台市若林区五橋3-5-75","宮城県","仙台市若林区",2008,"私立・短期大学"
"仙台大学","宮城県柴田郡柴田町船岡南2-2-18","宮城県","柴田郡柴田町",1967,"私立・大学"
"千里金蘭大学","大阪府吹田市藤白台5-25-1","大阪府","吹田市",2002,"私立・大学"
"相愛大学","大阪府大阪市住之江区南港中4-4-1","大阪府","大阪市住之江区",1958,"私立・大学"
"創価女子短期大学","東京都八王子市丹木町1-236","東京都","八王子市",1984,"私立・短期大学"
"創価大学","東京都八王子市丹木町1-236","東京都","八王子市",1971,"私立・大学"
"崇城大学","熊本県熊本市西区池田4-22-1","熊本県","熊本市西区",1967,"私立・大学"
"園田学園女子大学","兵庫県尼崎市南塚口町7-29-1","兵庫県","尼崎市",1966,"私立・大学"
"園田学園女子大学短期大学部","兵庫県尼崎市南塚口町7-29-1","兵庫県","尼崎市",1963,"私立・短期大学"
"大正大学","東京都豊島区西巣鴨3-20-1","東京都","豊島区",1949,"私立・大学"
"太成学院大学","大阪府堺市美原区平尾1060-1","大阪府","堺市美原区",1997,"私立・大学"
"高岡法科大学","富山県高岡市戸出石代307-3","富山県","高岡市",1988,"私立・大学"
"高崎健康福祉大学","群馬県高崎市中大類町37-1","群馬県","高崎市",2000,"私立・大学"
"高崎商科大学","群馬県高崎市根小屋町741","群馬県","高崎市",2000,"私立・大学"
"高崎商科大学短期大学部","群馬県高崎市根小屋町741","群馬県","高崎市",1987,"私立・短期大学"
"高田短期大学","三重県津市一身田豊野195","三重県","津市",1966,"私立・短期大学"
"高千穂大学","東京都杉並区大宮2-19-1","東京都","杉並区",1950,"私立・大学"
"高松短期大学","香川県高松市春日町960","香川県","高松市",1969,"私立・短期大学"
"高松大学","香川県高松市春日町960","香川県","高松市",1995,"私立・大学"
"高山自動車短期大学","岐阜県高山市下林町1155","岐阜県","高山市",1975,"私立・短期大学"
"宝塚医療大学","兵庫県宝塚市花屋敷緑ガ丘1","兵庫県","宝塚市",2010,"私立・大学"
"宝塚大学","大阪府大阪市北区芝田1-13-16","大阪府","大阪市北区",1986,"私立・大学"
"拓殖大学","東京都文京区小日向3-4-14","東京都","文京区",1949,"私立・大学"
"拓殖大学北海道短期大学","北海道深川市深川町字メム4558-1","北海道","深川市",1966,"私立・短期大学"
"玉川大学","東京都町田市玉川学園6-1-1","東京都","町田市",1949,"私立・大学"
"多摩大学","東京都多摩市聖ケ丘4-1-1","東京都","多摩市",1988,"私立・大学"
"多摩美術大学","東京都八王子市鑓水2-1723","東京都","八王子市",1953,"私立・大学"
"第一工科大学","鹿児島県霧島市国分中央1-10-2","鹿児島県","霧島市",1968,"私立・大学"
"第一薬科大学","福岡県福岡市南区玉川町22-1","福岡県","福岡市南区",1960,"私立・大学"
"第一幼児教育短期大学","鹿児島県霧島市国分中央1-10-2","鹿児島県","霧島市",1967,"私立・短期大学"
"大東文化大学","東京都板橋区高島平1-9-1","東京都","板橋区",1949,"私立・大学"
"大同大学","愛知県名古屋市南区滝春町10番地3","愛知県","名古屋市南区",1964,"私立・大学"
"筑紫女学園大学","福岡県太宰府市石坂2-12-1","福岡県","太宰府市",1987,"私立・大学"
"千葉科学大学","千葉県銚子市潮見町3","千葉県","銚子市",2003,"私立・大学"
"千葉敬愛短期大学","千葉県佐倉市山王1-9","千葉県","佐倉市",1950,"私立・短期大学"
"千葉経済大学","千葉県千葉市稲毛区轟町3-59-5","千葉県","千葉市稲毛区",1987,"私立・大学"
"千葉経済大学短期大学部","千葉県千葉市稲毛区轟町3-59-5","千葉県","千葉市稲毛区",1968,"私立・短期大学"
"千葉工業大学","千葉県習志野市津田沼2-17-1","千葉県","習志野市",1950,"私立・大学"
"千葉商科大学","千葉県市川市国府台1-3-1","千葉県","市川市",1950,"私立・大学"
"千葉明徳短期大学","千葉県千葉市中央区南生実町1412","千葉県","千葉市中央区",1970,"私立・短期大学"
"中央学院大学","千葉県我孫子市久寺家451","千葉県","我孫子市",1966,"私立・大学"
"中央大学","東京都八王子市東中野742-1","東京都","八王子市",1949,"私立・大学"
"中京学院大学","岐阜県中津川市千旦林1-104","岐阜県","中津川市",1992,"私立・大学"
"中京学院大学短期大学部","岐阜県瑞浪市土岐町2216","岐阜県","瑞浪市",1966,"私立・短期大学"
"中京大学","愛知県名古屋市昭和区八事本町101-2","愛知県","名古屋市昭和区",1956,"私立・大学"
"中国学園大学","岡山県岡山市北区庭瀬83番地","岡山県","岡山市北区",2001,"私立・大学"
"中国短期大学","岡山県岡山市北区庭瀬83番地","岡山県","岡山市北区",1962,"私立・短期大学"
"中部学院大学","岐阜県関市桐ヶ丘2-1","岐阜県","関市",1996,"私立・大学"
"中部学院大学短期大学部","岐阜県関市桐ヶ丘2-1","岐阜県","関市",1967,"私立・短期大学"
"中部大学","愛知県春日井市松本町1200","愛知県","春日井市",1964,"私立・大学"
"鎮西学院大学","長崎県諫早市西栄田町1212-1","長崎県","諫早市",2001,"私立・大学"
"筑波学院大学","茨城県つくば市吾妻3-1","茨城県","つくば市",1995,"私立・大学"
"つくば国際短期大学","茨城県土浦市真鍋6-20ー1","茨城県","土浦市",1966,"私立・短期大学"
"つくば国際大学","茨城県土浦市真鍋6-20-1","茨城県","土浦市",1993,"私立・大学"
"津田塾大学","東京都小平市津田町2-1-1","東京都","小平市",1948,"私立・大学"
"鶴見大学","神奈川県横浜市鶴見区鶴見2-1-3","神奈川県","横浜市鶴見区",1963,"私立・大学"
"鶴見大学短期大学部","神奈川県横浜市鶴見区鶴見2-1-3","神奈川県","横浜市鶴見区",1953,"私立・短期大学"
"帝京短期大学","東京都渋谷区本町6-31-1","東京都","渋谷区",1962,"私立・短期大学"
"帝京大学","東京都板橋区加賀2-11-1","東京都","板橋区",1966,"私立・大学"
"帝京大学短期大学","東京都八王子市大塚359","東京都","八王子市",1965,"私立・短期大学"
"帝京平成大学","東京都豊島区東池袋2-51-4","東京都","豊島区",1986,"私立・大学"
"貞静学園短期大学","東京都文京区小日向1-26-13","東京都","文京区",2008,"私立・短期大学"
"帝塚山学院大学","大阪府堺市南区晴美台4-2-2","大阪府","堺市南区",1966,"私立・大学"
"帝塚山大学","奈良県奈良市帝塚山七丁目1-1","奈良県","奈良市",1964,"私立・大学"
"天使大学","北海道札幌市東区北13条東3-1-30","北海道","札幌市東区",1999,"私立・大学"
"天理大学","奈良県天理市杣之内町1050","奈良県","天理市",1949,"私立・大学"
"田園調布学園大学","神奈川県川崎市麻生区東百合丘3-4-1","神奈川県","川崎市麻生区",2001,"私立・大学"
"電動モビリティシステム専門職大学","山形県西置賜郡飯豊町大字萩生1725-2","山形県","西置賜郡飯豊町",2022,"私立・大学"
"戸板女子短期大学","東京都港区芝2-21-17","東京都","港区",1950,"私立・短期大学"
"東亜大学","山口県下関市一の宮学園町2-1","山口県","下関市",1974,"私立・大学"
"桐蔭横浜大学","神奈川県横浜市青葉区鉄町1614","神奈川県","横浜市青葉区",1987,"私立・大学"
"東海学院大学","岐阜県各務原市那加桐野町5-68","岐阜県","各務原市",1981,"私立・大学"
"東海学院大学短期大学部","岐阜県各務原市那加桐野町2-43","岐阜県","各務原市",1963,"私立・短期大学"
"東海学園大学","愛知県みよし市福谷町西ノ洞21-233","愛知県","みよし市",1994,"私立・大学"
"東海大学","神奈川県平塚市北金目4-1-1","神奈川県","平塚市",1950,"私立・大学"
"東京有明医療大学","東京都江東区有明2‐9‐1","東京都","江東区",2008,"私立・大学"
"東京医科大学","東京都新宿区新宿6-1-1","東京都","新宿区",1952,"私立・大学"
"東京医療学院大学","東京都多摩市落合4-11","東京都","多摩市",2011,"私立・大学"
"東京医療保健大学","東京都品川区東五反田4-1-17","東京都","品川区",2004,"私立・大学"
"東京音楽大学","東京都目黒区上目黒1-9-1","東京都","目黒区",1963,"私立・大学"
"東京家政学院大学","東京都町田市相原町2600","東京都","町田市",1963,"私立・大学"
"東京家政大学","東京都板橋区加賀1-18-1","東京都","板橋区",1949,"私立・大学"
"東京家政大学短期大学部","東京都板橋区加賀1-18-1","東京都","板橋区",1950,"私立・短期大学"
"東京基督教大学","千葉県印西市内野3-301-5-1","千葉県","印西市",1989,"私立・大学"
"東京経営短期大学","千葉県市川市二俣625-1","千葉県","市川市",1991,"私立・短期大学"
"東京経済大学","東京都国分寺市南町1-7-34","東京都","国分寺市",1949,"私立・大学"
"東京工科大学","東京都八王子市片倉町1404-1","東京都","八王子市",1985,"私立・大学"
"東京工芸大学","東京都中野区本町2-9-5","東京都","中野区",1966,"私立・大学"
"東京交通短期大学","東京都豊島区池袋本町2-10-1","東京都","豊島区",1952,"私立・短期大学"
"東京国際大学","埼玉県川越市的場北1-13-1","埼玉県","川越市",1965,"私立・大学"
"東京歯科大学","東京都千代田区神田三崎町2-9-18","東京都","千代田区",1952,"私立・大学"
"東京歯科大学短期大学","東京都千代田区神田三崎町2-9-18","東京都","千代田区",2016,"私立・短期大学"
"東京神学大学","東京都三鷹市大沢3-10-30","東京都","三鷹市",1949,"私立・大学"
"東京慈恵会医科大学","東京都港区西新橋3-25-8","東京都","港区",1952,"私立・大学"
"東京純心大学","東京都八王子市滝山町2-600","東京都","八王子市",1995,"私立・大学"
"東京情報大学","千葉県千葉市若葉区御成台4-1","千葉県","千葉市若葉区",1987,"私立・大学"
"東京情報デザイン専門職大学","東京都江戸川区小松川2ー7-1","東京都","江戸川区",2022,"私立・大学"
"東京女子医科大学","東京都新宿区河田町8-1","東京都","新宿区",1952,"私立・大学"
"東京女子体育短期大学","東京都国立市富士見台4-30-1","東京都","国立市",1950,"私立・短期大学"
"東京女子体育大学","東京都国立市富士見台4-30-1","東京都","国立市",1962,"私立・大学"
"東京女子大学","東京都杉並区善福寺2-6-1","東京都","杉並区",1948,"私立・大学"
"東京聖栄大学","東京都葛飾区西新小岩1-4-6","東京都","葛飾区",2004,"私立・大学"
"東京成徳短期大学","東京都北区十条台1-7-13","東京都","北区",1965,"私立・短期大学"
"東京成徳大学","東京都北区十条台1-7-13","東京都","北区",1992,"私立・大学"
"東京造形大学","東京都八王子市宇津貫町1556","東京都","八王子市",1966,"私立・大学"
"東京電機大学","東京都足立区千住旭町5番","東京都","足立区",1949,"私立・大学"
"東京都市大学","東京都世田谷区玉堤1-28-1","東京都","世田谷区",1949,"私立・大学"
"東京農業大学","東京都世田谷区桜丘1-1-1","東京都","世田谷区",1949,"私立・大学"
"東京福祉大学","群馬県伊勢崎市山王町2020番地1","群馬県","伊勢崎市",1999,"私立・大学"
"東京福祉大学短期大学部","群馬県伊勢崎市山王町2020番地1","群馬県","伊勢崎市",2005,"私立・短期大学"
"東京富士大学","東京都新宿区下落合1-7-7","東京都","新宿区",2001,"私立・大学"
"東京保健医療専門職大学","東京都江東区塩浜2-22-10","東京都","江東区",2019,"私立・大学"
"東京未来大学","東京都足立区千住曙町34-12","東京都","足立区",2006,"私立・大学"
"東京薬科大学","東京都八王子市堀之内1432-1","東京都","八王子市",1949,"私立・大学"
"東京理科大学","東京都新宿区神楽坂1-3","東京都","新宿区",1949,"私立・大学"
"東京立正短期大学","東京都杉並区堀ノ内2-41-15","東京都","杉並区",1966,"私立・短期大学"
"東邦音楽短期大学","東京都文京区大塚4-46-9","東京都","文京区",1951,"私立・短期大学"
"東邦音楽大学","埼玉県川越市今泉84","埼玉県","川越市",1965,"私立・大学"
"桐朋学園芸術短期大学","東京都調布市若葉町1-41-1","東京都","調布市",1964,"私立・短期大学"
"桐朋学園大学","東京都調布市若葉町1-41-1","東京都","調布市",1961,"私立・大学"
"桐朋学園大学院大学","富山県富山市呉羽町1884-17","富山県","富山市",1998,"私立・大学"
"東邦大学","東京都大田区大森西5-21-16","東京都","大田区",1949,"私立・大学"
"東北医科薬科大学","宮城県仙台市青葉区小松島4-4-1","宮城県","仙台市青葉区",1949,"私立・大学"
"東北学院大学","宮城県仙台市青葉区土樋1-3-1","宮城県","仙台市青葉区",1949,"私立・大学"
