"大学名","本部所在地","都道府県","市区町村","設立年","種別"
"大分県立芸術文化短期大学","大分県大分市上野丘東1-11 ","大分県","大分市",1961,"公立・短期大学"
"大分大学","大分県大分市大字旦野原700番地 ","大分県","大分市",1949,"国立・大学"
"大阪教育大学","大阪府柏原市旭ヶ丘4-698-1 ","大阪府","柏原市",1949,"国立・大学"
"大阪大学","大阪府吹田市山田丘1-1 ","大阪府","吹田市",1949,"国立・大学"
"大月短期大学","山梨県大月市御太刀1-16-2 ","山梨県","大月市",1955,"公立・短期大学"
"岡山県立大学","岡山県総社市窪木111番地 ","岡山県","総社市",1993,"公立・大学"
"岡山大学","岡山県岡山市北区津島中1-1-1 ","岡山県","岡山市北区",1949,"国立・大学"
"沖縄県立看護大学","沖縄県那覇市 ","沖縄県","那覇市",1999,"公立・大学"
"沖縄県立芸術大学","沖縄県那覇市首里当蔵町1-4 ","沖縄県","那覇市",1985,"公立・大学"
"小樽商科大学","北海道小樽市緑3丁目5番21号 ","北海道","小樽市",1949,"国立・大学"
"お茶の水女子大学","東京都文京区大塚2-1-1 ","東京都","文京区",1949,"国立・大学"
"尾道市立大学","広島県尾道市久山田町1600番地2 ","広島県","尾道市",2001,"公立・大学"
"帯広畜産大学","北海道帯広市稲田町西2線11番地 ","北海道","帯広市",1949,"国立・大学"
"香川県立保健医療大学","香川県高松市牟礼町原281番地1 ","香川県","高松市",2003,"公立・大学"
"香川大学","香川県高松市幸町1番1号 ","香川県","高松市",1949,"国立・大学"
"鹿児島大学","鹿児島県鹿児島市 ","鹿児島県","鹿児島市",1949,"国立・大学"
"神奈川県立保健福祉大学","神奈川県横須賀市平成町1-10-1 ","神奈川県","横須賀市",2002,"公立・大学"
"金沢大学","石川県金沢市 ","石川県","金沢市",1949,"国立・大学"
"鹿屋体育大学","鹿児島県鹿屋市白水町1番地 ","鹿児島県","鹿屋市",1981,"国立・大学"
"川崎市立看護大学","神奈川県川崎市幸区小倉4丁目30番1号 ","神奈川県","川崎市幸区",2022,"公立・大学"
"北九州市立大学","福岡県北九州市小倉南区北方四丁目2番1号 ","福岡県","北九州市小倉南区",1946,"公立・大学"
"北見工業大学","北海道北見市公園町165番地 ","北海道","北見市",1966,"国立・大学"
"九州工業大学","福岡県北九州市戸畑区仙水町1-1 ","福岡県","北九州市戸畑区",1949,"国立・大学"
"九州歯科大学","福岡県北九州市小倉北区真鶴2-6-1 ","福岡県","北九州市小倉北区",1914,"公立・大学"
"九州大学","福岡県福岡市西区元岡744 ","福岡県","福岡市西区",1911,"国立・大学"
"京都教育大学","京都府京都市伏見区深草藤森町1番地 ","京都府","京都市伏見区",1949,"国立・大学"
"京都工芸繊維大学","京都府京都市左京区松ヶ崎橋上町 ","京都府","京都市左京区",1949,"国立・大学"
"京都大学","京都府京都市左京区吉田本町 ","京都府","京都市左京区",1897,"国立・大学"
"岐阜県立看護大学","岐阜県羽島市江吉良町3047番1 ","岐阜県","羽島市",2000,"公立・大学"
"岐阜市立女子短期大学","岐阜県岐阜市一日市場北町7番1号 ","岐阜県","岐阜市",1946,"公立・短期大学"
"岐阜大学","岐阜県岐阜市 ","岐阜県","岐阜市",1949,"国立・大学"
"釧路公立大学","北海道釧路市 ","北海道","釧路市",1988,"公立・大学"
"熊本県立大学","熊本県熊本市東区月出3-1-100 ","熊本県","熊本市東区",1949,"公立・大学"
"熊本大学","熊本県熊本市中央区黒髪2丁目39番1号 ","熊本県","熊本市中央区",1949,"国立・大学"
"倉敷市立短期大学","岡山県倉敷市 ","岡山県","倉敷市",1968,"公立・短期大学"
"群馬県立県民健康科学大学","群馬県前橋市上沖町323-1 ","群馬県","前橋市",2005,"公立・大学"
"群馬県立女子大学","群馬県佐波郡玉村町上之手1395-1 ","群馬県","佐波郡玉村町",1980,"公立・大学"
"群馬大学","群馬県前橋市荒牧町4-2 ","群馬県","前橋市",1949,"国立・大学"
"県立広島大学","広島県広島市南区宇品東一丁目1番71号 ","広島県","広島市南区",2005,"公立・大学"
"芸術文化観光専門職大学","兵庫県豊岡市山王町7-52 ","兵庫県","豊岡市",2021,"公立・大学"
"高知県立大学","高知県高知市池2751番地1 ","高知県","高知市",1949,"公立・大学"
"高知工科大学","高知県香美市土佐山田町宮ノ口185 ","高知県","香美市",1997,"公立・大学"
"高知大学","高知県高知市曙町二丁目5番1号 ","高知県","高知市",2003,"国立・大学"
"神戸市看護大学","兵庫県神戸市西区 ","兵庫県","神戸市西区",1996,"公立・大学"
"神戸市外国語大学","兵庫県神戸市西区学園東町9-1 ","兵庫県","神戸市西区",1946,"公立・大学"
"神戸大学","兵庫県神戸市灘区六甲台町1-1 ","兵庫県","神戸市灘区",1949,"国立・大学"
"公立小松大学","石川県小松市四丁町ヌ1番地3 ","石川県","小松市",2018,"公立・大学"
"公立諏訪東京理科大学","長野県茅野市豊平5000-1 ","長野県","茅野市",2018,"公立・大学"
"公立千歳科学技術大学","北海道千歳市 ","北海道","千歳市",2019,"公立・大学"
"公立鳥取環境大学","鳥取県鳥取市 ","鳥取県","鳥取市",2012,"公立・大学"
"公立はこだて未来大学","北海道函館市亀田中野町116番地2 ","北海道","函館市",2000,"公立・大学"
"国際教養大学","秋田県秋田市 ","秋田県","秋田市",2004,"公立・大学"
"埼玉県立大学","埼玉県越谷市三野宮820 ","埼玉県","越谷市",1999,"公立・大学"
"埼玉大学","埼玉県さいたま市桜区 ","埼玉県","さいたま市桜区",1949,"国立・大学"
"佐賀大学","佐賀県佐賀市本庄町1 ","佐賀県","佐賀市",2003,"国立・大学"
"札幌市立大学","北海道札幌市南区芸術の森1丁目 ","北海道","札幌市南区",2006,"公立・大学"
"山陽小野田市立山口東京理科大学","山口県山陽小野田市大学通1-1-1 ","山口県","山陽小野田市",1995,"公立・大学"
"滋賀医科大学","滋賀県大津市瀬田月輪町 ","滋賀県","大津市",1974,"国立・大学"
"滋賀県立大学","滋賀県彦根市八坂町2500 ","滋賀県","彦根市",1995,"公立・大学"
"滋賀大学","滋賀県彦根市馬場1丁目1-1 ","滋賀県","彦根市",1949,"国立・大学"
"静岡県立大学","静岡県静岡市駿河区 ","静岡県","静岡市駿河区",1986,"公立・大学"
"静岡県立大学短期大学部","静岡県静岡市 ","静岡県","静岡市",1987,"公立・短期大学"
"静岡社会健康医学大学院大学","静岡県静岡市葵区北安東4-27-2 ","静岡県","静岡市葵区",2021,"公立・大学"
"静岡大学","静岡県静岡市駿河区 ","静岡県","静岡市駿河区",1949,"国立・大学"
"静岡文化芸術大学","静岡県浜松市 ","静岡県","浜松市",2000,"公立・大学"
"島根県立大学","島根県浜田市 ","島根県","浜田市",2000,"公立・大学"
"島根県立大学短期大学部","島根県松江市 ","島根県","松江市",1953,"公立・短期大学"
"島根大学","島根県松江市西川津町1060 ","島根県","松江市",1949,"国立・大学"
"信州大学","長野県松本市 ","長野県","松本市",1949,"国立・大学"
"上越教育大学","新潟県上越市山屋敷町1番地 ","新潟県","上越市",1978,"国立・大学"
"情報科学芸術大学院大学","岐阜県大垣市加賀野4丁目1-7 ","岐阜県","大垣市",2001,"公立・大学"
"政策研究大学院大学","東京都港区六本木7-22-1 ","東京都","港区",1999,"国立・大学"
"総合研究大学院大学","神奈川県三浦郡葉山町(湘南国際村) ","神奈川県","三浦郡葉山町",1988,"国立・大学"
"高崎経済大学","群馬県高崎市上並榎町1300 ","群馬県","高崎市",1957,"公立・大学"
"千葉県立保健医療大学","千葉県千葉市美浜区若葉2-10-1 ","千葉県","千葉市美浜区",2008,"公立・大学"
"千葉大学","千葉県千葉市稲毛区弥生町1-33 ","千葉県","千葉市稲毛区",1949,"国立・大学"
